농가명,주사육업종,사업장소재지(지번),사업장소재지(도로명),사육두수,데이터 기준일자
윤이네 농장,한우,경상북도 포항시 북구 기계면 현내리 148번지 1호  ,경상북도 포항시 북구 기계면 기동지길 55-125,40,2025-08-14
태평농장,한우,경상북도 포항시 북구 흥해읍 덕장리 268번지 1호  ,경상북도 포항시 북구 흥해읍 덕실마을길108번길 34-29,45,2025-08-14
율산농장,한우,경상북도 포항시 북구 기북면 율산리 704번지  ,경상북도 포항시 북구 기북면 율산북길 45,3,2025-08-14
로뎀목장,젖소,경상북도 포항시 북구 기계면 인비리 217번지  ,경상북도 포항시 북구 기계면 기남길523번길 33-17,18,2025-08-14
한실농장,한우,경상북도 포항시 남구 장기면 대곡리 403번지  ,경상북도 포항시 남구 장기면 장기로943번길 43,35,2025-08-14
진화농장,한우,경상북도 포항시 북구 흥해읍 매산리 256번지 1호  ,경상북도 포항시 북구 흥해읍 신흥로 656-46,35,2025-08-14
해맞이농장,젖소,경상북도 포항시 북구 흥해읍 양백리 55번지  ,경상북도 포항시 북구 흥해읍 용연길 109-37,30,2025-08-14
스마일농장,한우,경상북도 포항시 북구 신광면 토성리 614번지 3호  ,경상북도 포항시 북구 신광면 신흥로 47-29,26,2025-08-14
도담목장,한우,경상북도 포항시 북구 청하면 미남리 609번지  ,경상북도 포항시 북구 청하면 동해대로2489번길 64-26,8,2025-08-14
용연목장,한우,경상북도 포항시 북구 흥해읍 용전리 713번지  ,경상북도 포항시 북구 흥해읍 용연길 215-75,13,2025-08-14
진수농장,한우,경상북도 포항시 북구 신광면 안덕리 851번지 2호  ,경상북도 포항시 북구 신광면 안덕길55번길 41-11,20,2025-08-14
영신농장-1,한우,경상북도 포항시 북구 신광면 사정리 329번지 1호  ,경상북도 포항시 북구 신광면 사정길50번길 44-68,100,2025-08-14
염소농장,염소,경상북도 포항시 북구 송라면 조사리 195번지 3호  ,경상북도 포항시 북구 송라면 해안로 2689,78,2025-08-14
일구농장2,한우,경상북도 포항시 남구 장기면 양포리 363번지  ,경상북도 포항시 남구 장기면 동해안로 3245-76,22,2025-08-14
옥길농장,한우,경상북도 포항시 북구 신광면 죽성리 6번지 3호  ,경상북도 포항시 북구 신광면 비학로855번길 31,2,2025-08-14
조향농원,한우,경상북도 포항시 북구 신광면 우각리 719번지  ,경상북도 포항시 북구 신광면 우각길 39,52,2025-08-14
유명목장,한우,경상북도 포항시 북구 죽장면 상옥리 1472번지 8호  ,경상북도 포항시 북구 죽장면 죽장로1801번길 66,40,2025-08-14
성규농장,한우,경상북도 포항시 북구 기계면 화봉리 356번지  ,경상북도 포항시 북구 기계면 기동지길 202,3,2025-08-14
수농장,한우,경상북도 포항시 북구 기계면 현내리 128번지 1호  ,경상북도 포항시 북구 기계면 기동지길 33-24,11,2025-08-14
박대산3농장,한우,경상북도 포항시 북구 송라면 대전리 170번지 2호  ,경상북도 포항시 북구 송라면 지경길 63-88,0,2025-08-14
미현리농장,한우,경상북도 포항시 북구 기계면 미현리 153번지  ,경상북도 포항시 북구 기계면 기동지길 498,17,2025-08-14
농업회사법인(주)새터자연란,종계/산란계,경상북도 포항시 북구 청하면 신흥리 324번지 1호  ,경상북도 포항시 북구 청하면 사방공원길 309-90,0,2025-08-14
삼보농원,한우,경상북도 포항시 북구 기계면 계전리 396번지  ,경상북도 포항시 북구 기계면 계전길 255,5,2025-08-14
기계농장,한우,경상북도 포항시 북구 기계면 현내리 496번지  ,경상북도 포항시 북구 기계면 학야길 17-96,3,2025-08-14
진성농장,한우,경상북도 포항시 북구 신광면 사정리 391번지  ,경상북도 포항시 북구 신광면 사정안길58번길 40-47,7,2025-08-14
용수골목장,한우,경상북도 포항시 남구 장기면 대곡리 68번지  ,경상북도 포항시 남구 장기면 장기로940번길 85,12,2025-08-14
금백농장,한우,경상북도 포항시 북구 기계면 미현리 80번지  ,경상북도 포항시 북구 기계면 기동지길 465,2,2025-08-14
봉화농장,한우,"경상북도 포항시 남구 장기면 학계리 359번지 1호 ,360 ",경상북도 포항시 남구 장기면 정동길 133-86,5,2025-08-14
하이동농장,한우,경상북도 포항시 북구 기계면 봉계리 1242번지  ,경상북도 포항시 북구 기계면 봉좌로329번길 17-10,2,2025-08-14
소원농장,한우,경상북도 포항시 북구 청하면 미남리 64번지  ,경상북도 포항시 북구 청하면 동해대로2368번길 57-86,5,2025-08-14
마현농장,한우,경상북도 포항시 남구 장기면 마현리 27번지 5호  ,경상북도 포항시 남구 장기면 신창길87번길 35,2,2025-08-14
엄마네농장,한우,경상북도 포항시 남구 장기면 대곡리 52번지 1호  ,경상북도 포항시 남구 장기면 장기로940번길 70,7,2025-08-14
새마을농장,한우,경상북도 포항시 북구 기계면 문성리 363번지 3호  ,경상북도 포항시 북구 기계면 새마을발상지길104번길 26,4,2025-08-14
찬호농장,한우,경상북도 포항시 북구 기계면 봉계리 1315번지 2호  ,경상북도 포항시 북구 기계면 봉좌로383번길 60,3,2025-08-14
민지농장,한우,경상북도 포항시 북구 기북면 오덕리 576번지 4호  ,경상북도 포항시 북구 기북면 기북로 876,11,2025-08-14
장원농장,한우,경상북도 포항시 북구 신광면 우각리 661번지 1호  ,경상북도 포항시 북구 신광면 비학로 668-12,6,2025-08-14
이농장,한우,경상북도 포항시 북구 흥해읍 북송리 242번지 19호  ,경상북도 포항시 북구 흥해읍 신흥로732번길 7-6,3,2025-08-14
웅이농장,한우,경상북도 포항시 북구 송라면 상송리 359번지 1호  ,,13,2025-08-14
기북농장,한우,경상북도 포항시 북구 기북면 대곡리 987번지  ,,6,2025-08-14
죽성농장,한우,경상북도 포항시 북구 신광면 죽성리 77번지  ,경상북도 포항시 북구 신광면 죽성길 23-15,70,2025-08-14
도움농장,한우,경상북도 포항시 북구 흥해읍 학천리 467번지  ,경상북도 포항시 북구 흥해읍 도음로821번길 63,27,2025-08-14
냉수농장,한우,경상북도 포항시 북구 신광면 냉수리 산 86번지 1호  ,경상북도 포항시 북구 신광면 비학로 230-3,18,2025-08-14
매산농장,한우,경상북도 포항시 북구 흥해읍 매산리 83번지 2호  ,경상북도 포항시 북구 흥해읍 매산길12번길 21,2,2025-08-14
상읍농장,한우,경상북도 포항시 북구 신광면 상읍리 169번지 4호  ,경상북도 포항시 북구 신광면 비학로 856-5,1,2025-08-14
만덕농장,한우,경상북도 포항시 남구 장기면 양포리 467번지  ,경상북도 포항시 남구 장기면 장기로48번길 13,3,2025-08-14
세계농장,한우,경상북도 포항시 남구 오천읍 세계리 715번지  ,,5,2025-08-14
광명농장,한우,경상북도 포항시 남구 오천읍 광명리 403번지 3호  ,경상북도 포항시 남구 오천읍 정몽주로294번길 27-37,5,2025-08-14
해오름농원,한우,경상북도 포항시 남구 구룡포읍 후동리 340번지  ,경상북도 포항시 남구 구룡포읍 후동길 136-7,4,2025-08-14
명안농장,한우,경상북도 포항시 북구 청하면 명안리 398번지  ,,4,2025-08-14
손익찬농장,한우,경상북도 포항시 북구 죽장면 매현리 713번지  ,경상북도 포항시 북구 죽장면 죽장로239번길 4-21,2,2025-08-14
호관농장,한우,경상북도 포항시 북구 죽장면 매현리 832번지  ,경상북도 포항시 북구 죽장면 죽장로239번길 7-4,2,2025-08-14
이희구 축사,한우,경상북도 포항시 북구 죽장면 정자리 71번지  ,경상북도 포항시 북구 죽장면 정자길 42,3,2025-08-14
길순농장,한우,경상북도 포항시 북구 신광면 냉수리 238번지 1호  ,경상북도 포항시 북구 신광면 도음로51번길 19,4,2025-08-14
솔안농장,한우,경상북도 포항시 북구 죽장면 입암리 439번지  ,경상북도 포항시 북구 죽장면 죽장로59번길 7,5,2025-08-14
서정농장,한우,경상북도 포항시 북구 청하면 서정리 716번지 5호  ,경상북도 포항시 북구 청하면 비학로 1870,1,2025-08-14
정진농장,한우,경상북도 포항시 북구 청하면 신흥리 517번지 1호  ,경상북도 포항시 북구 청하면 사방공원길 275-15,20,2025-08-14
상읍농장,한우,경상북도 포항시 북구 신광면 냉수리 산 44번지  ,경상북도 포항시 북구 신광면 도음로 66-109,30,2025-08-14
상옥농장,한우,경상북도 포항시 북구 죽장면 상옥리 1252번지  ,경상북도 포항시 북구 죽장면 죽장로1669번길 21-12,7,2025-08-14
용산농장,한우,경상북도 포항시 북구 기계면 구지리 172번지 3호  ,경상북도 포항시 북구 기계면 새마을로2373번길 7-36,5,2025-08-14
기남농장,한우,경상북도 포항시 북구 기계면 인비리 382번지 2호  ,경상북도 포항시 북구 기계면 기남길 614-29,10,2025-08-14
고향농장,한우,경상북도 포항시 북구 기계면 고지리 239번지 7호  ,경상북도 포항시 북구 기계면 기남길 88,11,2025-08-14
숲뒤농장,한우,경상북도 포항시 북구 기계면 화대리 519번지  ,,10,2025-08-14
덕실농장,한우,경상북도 포항시 북구 흥해읍 덕성리 417번지  ,경상북도 포항시 북구 흥해읍 덕실마을길 490-83,20,2025-08-14
한우리농장,한우,경상북도 포항시 북구 신광면 죽성리 454번지 3호  ,경상북도 포항시 북구 신광면 비학로855번길 84-19,14,2025-08-14
대성농장,한우,경상북도 포항시 남구 장기면 방산리 520번지  ,경상북도 포항시 남구 장기면 방산로 265,25,2025-08-14
대우농장,한우,경상북도 포항시 남구 호미곶면 대보리 25번지 3호  ,경상북도 포항시 남구 호미곶면 호미로 1215,14,2025-08-14
올리브한우농장,한우,경상북도 포항시 북구 신광면 반곡리 264번지 2호  ,경상북도 포항시 북구 신광면 기반길 18,9,2025-08-14
호반농원,종계/산란계,경상북도 포항시 북구 신광면 호리 626번지 3호  ,경상북도 포항시 북구 신광면 호리길 47,200,2025-08-14
용광농장,한우,경상북도 포항시 북구 기계면 내단리 740번지  ,,3,2025-08-14
성진농장,한우,경상북도 포항시 북구 기계면 문성리 136번지  ,경상북도 포항시 북구 기계면 새마을발상지길 83,33,2025-08-14
진국농장,한우,경상북도 포항시 북구 기계면 고지리 167번지  ,경상북도 포항시 북구 기계면 기남길149번길 26-25,1,2025-08-14
백구단농장,한우,경상북도 포항시 북구 신광면 냉수리 161번지  ,경상북도 포항시 북구 신광면 도음로 66-35,24,2025-08-14
풀내음농장,한우,경상북도 포항시 북구 흥해읍 용천리 535번지 11호 외 2필지 ,경상북도 포항시 북구 흥해읍 칠포로 210-91,0,2025-08-14
갈매농장,염소,경상북도 포항시 북구 신광면 냉수리 767번지 1호  ,,6,2025-08-14
트리플농장,한우,경상북도 포항시 남구 호미곶면 대보리 923번지  ,경상북도 포항시 남구 호미곶면 보천길 123-12,0,2025-08-14
유락농장,한우,경상북도 포항시 북구 기계면 현내리 143번지 1호  ,경상북도 포항시 북구 기계면 기동지길 55-97,20,2025-08-14
서포항농장,한우,경상북도 포항시 북구 기계면 화봉리 656번지  ,경상북도 포항시 북구 기계면 기동지길263번길 134,0,2025-08-14
세욱농장,육우,경상북도 포항시 북구 기계면 화봉리 305번지  ,경상북도 포항시 북구 기계면 화대길114번길 114-9,0,2025-08-14
우야농장2,한우,경상북도 포항시 북구 기북면 대곡리 923번지  ,경상북도 포항시 북구 기북면 기북로 334-20,0,2025-08-14
광명농장2,육우,경상북도 포항시 북구 흥해읍 학천리 695번지  ,경상북도 포항시 북구 흥해읍 도음로 650-25,50,2025-08-14
학산농원,한우,경상북도 포항시 북구 신광면 안덕리 516번지  ,경상북도 포항시 북구 신광면 비학로1197번길 97-19,0,2025-08-14
가나안목장,젖소,경상북도 포항시 북구 신광면 만석리 784번지  ,경상북도 포항시 북구 신광면 비학로1241번길 9-139,0,2025-08-14
우리한우농장,한우,경상북도 포항시 북구 신광면 안덕리 894번지 2호  ,경상북도 포항시 북구 신광면 안덕길55번길 41-201,0,2025-08-14
푸르미농장,한우,경상북도 포항시 북구 기계면 현내리 691번지 1호  ,경상북도 포항시 북구 기계면 새마을로1757번길 31,20,2025-08-14
영은농장,한우,경상북도 포항시 북구 흥해읍 흥안리 936번지 6호  ,경상북도 포항시 북구 흥해읍 칠포로 158,0,2025-08-14
ASK축산,한우,경상북도 포항시 북구 신광면 흥곡리 781번지 1호  ,경상북도 포항시 북구 신광면 흥곡길 119-96,0,2025-08-14
한우농장,한우,경상북도 포항시 북구 기계면 내단리 134번지 2호  ,경상북도 포항시 북구 기계면 내단천길 80,0,2025-08-14
성두골농원,종계/산란계,경상북도 포항시 북구 송라면 상송리 408번지  ,경상북도 포항시 북구 송라면 삼송길108번길 71,0,2025-08-14
질경이농장2,한우,경상북도 포항시 북구 기계면 문성리 458번지 1호  ,경상북도 포항시 북구 기계면 새마을발상지길116번길 73-1,0,2025-08-14
진영농장,한우,경상북도 포항시 북구 기계면 화봉리 302번지  ,경상북도 포항시 북구 기계면 화대길114번길 114-17,0,2025-08-14
냉수농장,한우,경상북도 포항시 북구 신광면 냉수리 233번지 3호  ,경상북도 포항시 북구 신광면 도음로51번길 7-6,0,2025-08-14
동문농장,한우,경상북도 포항시 북구 기계면 학야리 949번지  ,경상북도 포항시 북구 기계면 학야길252번길 47,0,2025-08-14
모정농원,한우,경상북도 포항시 북구 신광면 흥곡리 908번지 2호  ,경상북도 포항시 북구 신광면 흥곡길 128-32,0,2025-08-14
모영국농장,한우,경상북도 포항시 북구 흥해읍 용전리 298번지 19호  ,,5,2025-08-14
고향뜰 농장,한우,경상북도 포항시 북구 신광면 토성리 629번지  ,경상북도 포항시 북구 신광면 신흥로 25-7,0,2025-08-14
이상대농장,한우,경상북도 포항시 북구 기계면 화대리 99번지  ,경상북도 포항시 북구 기계면 화대길 68-55,0,2025-08-14
흥락농장,한우,경상북도 포항시 남구 오천읍 갈평리 376번지 15호  ,경상북도 포항시 남구 오천읍 기림로 1589-15,0,2025-08-14
만옥농원,한우,경상북도 포항시 북구 기계면 봉계리 957번지 1호 외 1필지 ,경상북도 포항시 북구 기계면 봉계길231번길 16-4,0,2025-08-14
헌복농장,한우,경상북도 포항시 북구 신광면 토성리 513번지  ,경상북도 포항시 북구 신광면 신흥로 61-26,0,2025-08-14
예원농장,한우,경상북도 포항시 북구 흥해읍 덕장리 62번지 26호  ,경상북도 포항시 북구 흥해읍 덕장길 57-45,0,2025-08-14
황금농장,한우,경상북도 포항시 남구 동해면 중흥리 138번지 1호  ,경상북도 포항시 남구 동해면 흥환길 106-12,0,2025-08-14
하정농장,한우,경상북도 포항시 남구 장기면 정천리 685번지 15호  ,,0,2025-08-14
참푸른농장1,한우,경상북도 포항시 북구 신광면 우각리 821번지 외1필지 ,경상북도 포항시 북구 신광면 우각길 37-36,0,2025-08-14
에벤에셀농장,한우,경상북도 포항시 북구 신광면 만석리 358번지  ,경상북도 포항시 북구 신광면 비학로1198번길 24-17,0,2025-08-14
창지농장,한우,경상북도 포항시 남구 장기면 창지리 678번지 2호  ,경상북도 포항시 남구 장기면 장기로781번길 56,0,2025-08-14
한동원농장2,한우,경상북도 포항시 북구 신광면 우각리 711번지 5호  ,경상북도 포항시 북구 신광면 비학로 644-30,0,2025-08-14
CW농장,한우,경상북도 포항시 남구 호미곶면 강사리 381번지 1호  ,경상북도 포항시 남구 호미곶면 호미로 1017-128,0,2025-08-14
다온농장,한우,경상북도 포항시 북구 송라면 하송리 175번지 1호 외 7필지 ,경상북도 포항시 북구 송라면 동해대로2732번길 22-3,217,2025-08-14
지라은목장,한우,경상북도 포항시 북구 기계면 현내리 149번지  ,경상북도 포항시 북구 기계면 기동지길 55-133,0,2025-08-14
착한아빠농장,종계/산란계,경상북도 포항시 북구 신광면 반곡리 174번지  ,경상북도 포항시 북구 신광면 기반길 48-141,0,2025-08-14
대형농장,한우,경상북도 포항시 북구 신광면 흥곡리 777번지 외 1필지(778번지) ,경상북도 포항시 북구 신광면 흥곡길 119-88,0,2025-08-14
주영농장,한우,경상북도 포항시 북구 흥해읍 용곡리 126번지 4호  ,경상북도 포항시 북구 흥해읍 용연길 237-42,0,2025-08-14
장기 하늘비 한우 목장,한우,경상북도 포항시 남구 장기면 금곡리 143번지 1호  ,경상북도 포항시 남구 장기면 현내들길264번길 34,106,2025-08-14
해오름농장,염소,경상북도 포항시 북구 기계면 현내리 1095번지 2호  ,경상북도 포항시 북구 기계면 기계로212번길 36,35,2025-08-14
정원농장,한우,경상북도 포항시 북구 기계면 내단리 963번지 2호  ,경상북도 포항시 북구 기계면 새마을로 1347-31,107,2025-08-14
한들농장,한우,경상북도 포항시 북구 청하면 미남리 69번지  ,,60,2025-08-14
형제농원,한우,경상북도 포항시 북구 기계면 미현리 237번지 3호 외 1필지 ,경상북도 포항시 북구 기계면 기동지길 695,110,2025-08-14
가사농장,한우,경상북도 포항시 북구 죽장면 가사리 527번지 외 2필지 ,경상북도 포항시 북구 죽장면 가사길 85-6,46,2025-08-14
정말한우,한우,경상북도 포항시 북구 신광면 흥곡리 776번지 외 2필지 ,경상북도 포항시 북구 신광면 흥곡길 119-84,94,2025-08-14
해철농장2,한우,경상북도 포항시 북구 흥해읍 매산리 73번지  ,경상북도 포항시 북구 흥해읍 신흥로 592,16,2025-08-14
배근농장,한우,경상북도 포항시 북구 기계면 화대리 560번지 1호 (내단리 1079) ,경상북도 포항시 북구 기계면 내단길39번길 14,61,2025-08-14
석민농장,한우,경상북도 포항시 남구 오천읍 갈평리 327번지 1호  ,경상북도 포항시 남구 오천읍 기림로1785번길 45,19,2025-08-14
가늠골농장,염소,경상북도 포항시 남구 동해면 금광리 산 29번지 11호  ,,17,2025-08-14
동환농장,한우,경상북도 포항시 북구 기계면 계전리 61번지  ,경상북도 포항시 북구 기계면 계전길109번길 45,0,2025-08-14
정기농장,한우,경상북도 포항시 북구 신광면 안덕리 891번지 1호  ,경상북도 포항시 북구 신광면 안덕길55번길 57-70,0,2025-08-14
상곤농장,한우,경상북도 포항시 북구 기계면 문성리 77번지  ,경상북도 포항시 북구 기계면 새마을발상지길75번길 100-28,0,2025-08-14
해게울 목장2,한우,경상북도 포항시 남구 장기면 산서리 1068번지  ,경상북도 포항시 남구 장기면 산서길209번길 91-124,35,2025-08-14
일구농장3,한우,경상북도 포항시 남구 장기면 양포리 591번지 28호  ,경상북도 포항시 남구 장기면 동해안로 3245-64,0,2025-08-14
세헌농장,한우,경상북도 포항시 남구 구룡포읍 석병리 668번지 2호  ,경상북도 포항시 남구 구룡포읍 땅끝마을길 17,0,2025-08-14
필봉농장,한우,경상북도 포항시 북구 청하면 필화리 5번지 1호  ,경상북도 포항시 북구 청하면 미남길 93-34,10,2025-08-14
대형농장 3호,한우,경상북도 포항시 북구 신광면 흥곡리 772번지 2호  ,,0,2025-08-14
민농장,한우,경상북도 포항시 북구 기계면 성계리 648번지 1호  ,경상북도 포항시 북구 기계면 성계길 105,0,2025-08-14
미소농장,한우,경상북도 포항시 북구 기북면 오덕리 776번지 6호  ,경상북도 포항시 북구 기북면 기북로 728-58,0,2025-08-14
수야농장,한우,경상북도 포항시 남구 장기면 산서리 389번지 1호  ,경상북도 포항시 남구 장기면 산서안길6번길 14,0,2025-08-14
운산농원,한우,경상북도 포항시 북구 신광면 냉수리 306번지 2호  ,,19,2025-08-14
상국농장,한우,경상북도 포항시 북구 신광면 반곡리 438번지 11호  ,경상북도 포항시 북구 신광면 기반길 171,0,2025-08-14
큰골농장,한우,경상북도 포항시 북구 신광면 흥곡리 894번지  ,경상북도 포항시 북구 신광면 흥곡길 128-13,0,2025-08-14
고니농장,한우,경상북도 포항시 북구 기계면 현내리 537번지  ,,0,2025-08-14
용진농장,한우,경상북도 포항시 북구 기계면 학야리 311번지 1호  ,,0,2025-08-14
거현농장,한우,경상북도 포항시 북구 기계면 지가리 671번지  ,,0,2025-08-14
비학농장,한우,경상북도 포항시 북구 기북면 대곡리 1182번지  ,경상북도 포항시 북구 기북면 기북로306번길 37,25,2025-08-14
심정농장,한우,경상북도 포항시 북구 기계면 화봉리 650번지  ,경상북도 포항시 북구 기계면 기동지길263번길 126,115,2025-08-14
이미정 한우농장,한우,경상북도 포항시 북구 신광면 안덕리 812번지  ,경상북도 포항시 북구 신광면 안덕길89번길 74,49,2025-08-14
도토골 농장,염소,경상북도 포항시 북구 죽장면 하옥리 859번지 외 1필지 ,,40,2025-08-14
