사업장명칭,주사육업종,사업장소재지(지번),사업장소재지(도로명),사육신고두수
국일호 농장,한우,전북특별자치도 완주군 비봉면 백도리,전북특별자치도 완주군 비봉면 백도길,19
이현숙 농장,한우,전북특별자치도 완주군 화산면 승치리,전북특별자치도 완주군 화산면 승치로,61
최장열 농장,한우,전북특별자치도 완주군 고산면 서봉리,전북특별자치도 완주군 고산면 눈기러기로,16
문홍섭 농장,염소,전북특별자치도 완주군 화산면 우월리,전북특별자치도 완주군 화산면 화산로,60
서진농장,육우,전북특별자치도 완주군 소양면 신원리,전북특별자치도 완주군 소양면 신원상리,33
주엘 농장,한우,전북특별자치도 완주군 고산면 남봉리,전북특별자치도 완주군 고산면 남봉덕암길,15
원호농장,한우,전북특별자치도 완주군 화산면 우월리,전북특별자치도 완주군 화산면 화산로,3
동리 농장,한우,전북특별자치도 완주군 비봉면 내월리,전북특별자치도 완주군 비봉면 천호로,200
성지 농장,한우,전북특별자치도 완주군 비봉면 이전리,전북특별자치도 완주군 비봉면 눈기러기로,13
축복 농장,육계,전북특별자치도 완주군 화산면 승치리,전북특별자치도 완주군 화산면 승치로,65000
김막동 농장,한우,전북특별자치도 완주군 이서면 은교리,전북특별자치도 완주군 이서면 신지앵곡길,7
산시농장,한우,전북특별자치도 완주군 비봉면 대치리,전북특별자치도 완주군 비봉면 산시길,40
푸른농장,한우,전북특별자치도 완주군 소양면 해월리,전북특별자치도 완주군 소양면 원암로,40
반석농장,한우,전북특별자치도 완주군 화산면 와룡리,전북특별자치도 완주군 화산면 화산남로,33
이정수농장 2,한우,전북특별자치도 완주군 화산면 운곡리,전북특별자치도 완주군 화산면 봉판길,1
남승민 농장 2,한우,전북특별자치도 완주군 화산면 화월리,전북특별자치도 완주군 화산면 화월정자길,90
청정농장 2,한우,전북특별자치도 완주군 비봉면 봉산리,전북특별자치도 완주군 비봉면 천호로,60
김태선농장 2,한우,전북특별자치도 완주군 화산면 와룡리,전북특별자치도 완주군 화산면 궁평가양길,40
행복농장 3,한우,전북특별자치도 완주군 화산면 운곡리,전북특별자치도 완주군 화산면 운곡로,20
문석권 농장 2,한우,전북특별자치도 완주군 용진읍 신지리,전북특별자치도 완주군 용진읍 순지2길,18
국중오 농장,한우,전북특별자치도 완주군 화산면 운곡리,전북특별자치도 완주군 화산면 운곡로,4
평원농장,염소,전북특별자치도 완주군 비봉면 수선리,전북특별자치도 완주군 비봉면 눈기러기로,32
시은이네 농장,한우,전북특별자치도 완주군 고산면 남봉리,전북특별자치도 완주군 고산면 남봉덕암길,19
행복농장 5,한우,전북특별자치도 완주군 고산면 남봉리,전북특별자치도 완주군 고산면 남봉로,40
삼형제농장,한우,전북특별자치도 완주군 비봉면 이전리,전북특별자치도 완주군 비봉면 눈기러기로,10
제일농장,한우,전북특별자치도 완주군 고산면 남봉리,전북특별자치도 완주군 고산면 남봉신기길,3
동지농장 1,한우,전북특별자치도 완주군 고산면 율곡리,전북특별자치도 완주군 고산면 율백로,40
송수농장,한우,전북특별자치도 완주군 비봉면 수선리,전북특별자치도 완주군 비봉면 눈기러기로,40
안동식농장,한우,전북특별자치도 완주군 구이면 광곡리,전북특별자치도 완주군 구이면 난산평촌로,7
강복농장,한우,전북특별자치도 완주군 고산면 삼기리,전북특별자치도 완주군 고산면 고산천로,10
원우농장,한우,전북특별자치도 완주군 화산면 우월리,전북특별자치도 완주군 화산면 화산로,250
예곡농장,한우,전북특별자치도 완주군 화산면 춘산리,전북특별자치도 완주군 화산면 춘산로,10
최현숙농장 2,한우,전북특별자치도 완주군 비봉면 백도리,전북특별자치도 완주군 비봉면 이수백로,15
조은희농장,한우,전북특별자치도 완주군 비봉면 봉산리,전북특별자치도 완주군 비봉면 봉산길,20
성준남농장 2,한우,전북특별자치도 완주군 고산면 양야리,전북특별자치도 완주군 고산면 양화로,5
이정미농장 2,한우,전북특별자치도 완주군 비봉면 수선리,전북특별자치도 완주군 비봉면 눈기러기로,10
창성농장,한우,전북특별자치도 완주군 비봉면 수선리,전북특별자치도 완주군 비봉면 눈기러기로,50
이성수농장 2,한우,전북특별자치도 완주군 화산면 승치리,전북특별자치도 완주군 화산면 승치로,24
철준사슴목장 2,사슴,전북특별자치도 완주군 소양면 신촌리,전북특별자치도 완주군 소양면 삼중길,15
지훈농장,한우,전북특별자치도 완주군 비봉면 이전리,전북특별자치도 완주군 비봉면 이수백로,6
원종고농장,한우,전북특별자치도 완주군 구이면 덕천리,전북특별자치도 완주군 구이면 덕천지등1길,10
손웅농장,한우,전북특별자치도 완주군 화산면 춘산리,전북특별자치도 완주군 화산면 춘산로,6
한호사슴농장,사슴,전북특별자치도 완주군 상관면 죽림리,전북특별자치도 완주군 상관면 내사길,22
장관익농장,한우,전북특별자치도 완주군 화산면 운곡리,전북특별자치도 완주군 화산면 운곡로,15
태산농장 2,한우,전북특별자치도 완주군 고산면 성재리,전북특별자치도 완주군 고산면 송학길,40
모악농장,염소,전북특별자치도 완주군 상관면 용암리,전북특별자치도 완주군 상관면 마자길,500
강세환농장,한우,전북특별자치도 완주군 고산면 화정리,전북특별자치도 완주군 고산면 양화로,3
덕우농장,한우,전북특별자치도 완주군 구이면 안덕리,전북특별자치도 완주군 구이면 장미로,7
성수사슴농장,사슴,전북특별자치도 완주군 구이면 백여리,전북특별자치도 완주군 구이면 구이로,20
지상농장,한우,전북특별자치도 완주군 화산면 와룡리,전북특별자치도 완주군 화산면 화산남로,100
채규창농장,한우,전북특별자치도 완주군 화산면 화월리,전북특별자치도 완주군 화산면 눈기러기로,50
화성한우농장,한우,전북특별자치도 완주군 화산면 우월리,전북특별자치도 완주군 화산면 대치로,20
예원농장,한우,전북특별자치도 완주군 화산면 와룡리,전북특별자치도 완주군 화산면 화산남로,40
유성옥농장,한우,전북특별자치도 완주군 삼례읍 석전리,전북특별자치도 완주군 삼례읍 신수로,10
화월농장,한우,전북특별자치도 완주군 화산면 화월리,전북특별자치도 완주군 화산면 창곡대서길,30
강신구농장,한우,전북특별자치도 완주군 화산면 와룡리,전북특별자치도 완주군 화산면 화산남로,20
충만농장,한우,전북특별자치도 완주군 화산면 화평리,전북특별자치도 완주군 화산면 신구로,50
노천호농장 2,한우,전북특별자치도 완주군 화산면 춘산리,전북특별자치도 완주군 화산면 춘산로,85
두연농장,염소,전북특별자치도 완주군 소양면 명덕리,전북특별자치도 완주군 소양면 평리,50
은하농장,한우,전북특별자치도 완주군 고산면 율곡리,전북특별자치도 완주군 고산면 율백로,2
구광회농장 2,염소,전북특별자치도 완주군 화산면 화월리,전북특별자치도 완주군 화산면 창곡대서길,70
구라농장,한우,전북특별자치도 완주군 화산면 화월리,전북특별자치도 완주군 화산면 신구로,23
백년사슴,사슴,전북특별자치도 완주군 소양면 죽절리,전북특별자치도 완주군 소양면 죽절길,11
김양수농장,한우,전북특별자치도 완주군 화산면 화평리,전북특별자치도 완주군 화산면 신구로,9
지웅농장,한우,전북특별자치도 완주군 고산면 율곡리,전북특별자치도 완주군 고산면 원산길,10
사랑농장 2,한우,전북특별자치도 완주군 비봉면 봉산리,전북특별자치도 완주군 비봉면 죽산길,17
신상농장 2,한우,전북특별자치도 완주군 고산면 소향리,전북특별자치도 완주군 고산면 대아저수로,20
이창농장,한우,전북특별자치도 완주군 화산면 승치리,전북특별자치도 완주군 화산면 승치로,10
안골농장,한우,전북특별자치도 완주군 화산면 화평리,전북특별자치도 완주군 화산면 신구로,30
농업회사법인 완주수정바이오 주식회사,한우,전북특별자치도 완주군 비봉면 이전리,전북특별자치도 완주군 비봉면 눈기러기로,150
용호농장 2,한우,전북특별자치도 완주군 고산면 오산리,전북특별자치도 완주군 고산면 고산로,80
김문태농장 2,한우,전북특별자치도 완주군 화산면 춘산리,전북특별자치도 완주군 화산면 춘산로,10
턱골농장,한우,전북특별자치도 완주군 화산면 춘산리,전북특별자치도 완주군 화산면 춘산덕동길,30
영구축산,염소,전북특별자치도 완주군 봉동읍 구미리,전북특별자치도 완주군 봉동읍 삼봉로,30
우리들농장,한우,전북특별자치도 완주군 비봉면 백도리,전북특별자치도 완주군 비봉면 백도길,3
마하나임농장,한우,전북특별자치도 완주군 비봉면 이전리,전북특별자치도 완주군 비봉면 눈기러기로,50
이주상농장,한우,전북특별자치도 완주군 비봉면 백도리,전북특별자치도 완주군 비봉면 율백로,30
하루농장,한우,전북특별자치도 완주군 화산면 승치리,전북특별자치도 완주군 화산면 승치로,50
영성농장,한우,전북특별자치도 완주군 비봉면 이전리,전북특별자치도 완주군 비봉면 눈기러기로,25
정이농장,한우,전북특별자치도 완주군 화산면 화평리,,0
세화농장,한우,전북특별자치도 완주군 비봉면 이전리,,35
다라니 2호,한우,전북특별자치도 완주군 화산면 승치리,,0
김재윤 농장2,한우,전북특별자치도 완주군 고산면 율곡리,전북특별자치도 완주군 고산면 율백로,40
별목장2,젖소,전북특별자치도 완주군 비봉면 봉산리,전북특별자치도 완주군 비봉면 죽산길,35
태리농장,한우,전북특별자치도 완주군 화산면 승치리,,0
송원근 농장,한우,전북특별자치도 완주군 비봉면 백도리,전북특별자치도 완주군 비봉면 담곡길,4
유희래 농장2,한우,전북특별자치도 완주군 비봉면 내월리,전북특별자치도 완주군 비봉면 천호로,0
승민이 농장,한우,전북특별자치도 완주군 화산면 승치리,,0
정해권농장,육계,전북특별자치도 완주군 봉동읍 장구리,전북특별자치도 완주군 봉동읍 봉동로,0
현숙 농장,한우,전북특별자치도 완주군 비봉면 수선리,,0
오세화 농장 2,한우,전북특별자치도 완주군 비봉면 이전리,전북특별자치도 완주군 비봉면 눈기러기로,0
수선농장,한우,전북특별자치도 완주군 비봉면 수선리,,0
권내현 농장,한우,전북특별자치도 완주군 비봉면 이전리,,0
임영순 농장2,한우,전북특별자치도 완주군 고산면 어우리,,0
대건축산,한우,전북특별자치도 완주군 봉동읍 구암리,,0
지은 농장,한우,전북특별자치도 완주군 화산면 성북리,전북특별자치도 완주군 화산면 백암길,0
준성2농장,한우,전북특별자치도 완주군 화산면 춘산리,,0
고려농장,한우,전북특별자치도 완주군 이서면 은교리,,0
박종호 농장,한우,전북특별자치도 완주군 화산면 승치리,,0
구권서 농장,한우,전북특별자치도 완주군 고산면 소향리,,0
보라농장,한우,전북특별자치도 완주군 비봉면 백도리,전북특별자치도 완주군 비봉면 백도길,0
해원농장,육우,전북특별자치도 완주군 화산면 승치리,전북특별자치도 완주군 화산면 승치로,0
김종규 농장,한우,전북특별자치도 완주군 구이면 항가리,전북특별자치도 완주군 구이면 망산2길,0
신영란 농장,한우,전북특별자치도 완주군 비봉면 내월리,전북특별자치도 완주군 비봉면 천호로,0
다은이 농장,한우,전북특별자치도 완주군 삼례읍 어전리,전북특별자치도 완주군 삼례읍 원어전길,0
박종호농장2,한우,전북특별자치도 완주군 화산면 승치리,전북특별자치도 완주군 화산면 승치로,0
고산촌 농장,한우,전북특별자치도 완주군 고산면 남봉리,전북특별자치도 완주군 고산면 남봉덕암길,0
행복농장 2,한우,전북특별자치도 완주군 화산면 운곡리,,0
순지농장,한우,전북특별자치도 완주군 용진읍 신지리,전북특별자치도 완주군 용진읍 순지2길,0
대문안 농장,한우,전북특별자치도 완주군 이서면 이성리,전북특별자치도 완주군 이서면 이서남로,0
동지 농장2,한우,전북특별자치도 완주군 고산면 율곡리,,0
경락농장,한우,전북특별자치도 완주군 고산면 성재리,전북특별자치도 완주군 고산면 성재길,0
화산골 3농장,한우,전북특별자치도 완주군 화산면 운산리,전북특별자치도 완주군 화산면 화산로,0
덕암농장,한우,전북특별자치도 완주군 고산면 남봉리,전북특별자치도 완주군 고산면 남봉덕암길,0
소두러니 농장2,한우,전북특별자치도 완주군 화산면 우월리,,0
김영범 3농장,한우,전북특별자치도 완주군 고산면 율곡리,전북특별자치도 완주군 고산면 율백로,0
고산촌2,한우,전북특별자치도 완주군 고산면 남봉리,,0
고산촌3,한우,전북특별자치도 완주군 고산면 남봉리,전북특별자치도 완주군 고산면 남봉덕암길,0
천호농장,한우,전북특별자치도 완주군 비봉면 내월리,전북특별자치도 완주군 비봉면 천호로,0
김명곤농장 2,한우,전북특별자치도 완주군 화산면 와룡리,전북특별자치도 완주군 화산면 라복1길,0
